name1,name2,street1,street2,city,state,zip,phone,intake1,intake2,intake1a,intake2a,service_code_info
Recovery Services of Connecticut,,71 Bradley Road,Suite 6,Madison,CT,06443,203-421-6242,,,,,SA * OP OIT ORT * RPE * ACMA * AURPE * MOA * BIA CBT CMI MOTI RELP SACA TELE * PVTP * STAG * MC MD MI PI SF SI * TAY WN PW MN SE GL VET ADM MF CJ CO COPSU HV XA DV TRMA * CSAA OPC STU SSA * DAUT * ACC DP NOE OFD * HS AOSS * SAE TCC ICO GCO FCO MCO * SMPD * YAD ADLT * FEM MALE * VAPP * CM SSD
Waterstone Counseling Center,,86 Bradley Road,,Madison,CT,06443,203-245-0412,,,,,SA DT * OP OD OMB ORT * BU NU * PC * PMAT * AUPC * UB UN RPN MOA DLC MWS * ACM DSF BWN BWON BERI NXN VTRL LFXD CLND MMD NRT NSC * BIA CBT MOTI RELP SACA TELE TRC * PVTP * MC MD PI SF * MN CO * CSAA STU SSA SMHD * DAOF DAUT * ACC DP NOE * AOSS * BDTX ODTX MDET * SAE TCC ICO GCO * SMON * YAD ADLT * FEM MALE * FX * F36 * VAPN * MHS SSD
Community Health Resources,Manchester Clinic,444 Center Street,,Manchester,CT,06040,860-731-5522,860-646-3888,,,,SA SUMH * OP OIT OMB ORT * BU NU * PMAT * AUINPE * UB UN * ACM DSF BWN BWON NXN CLND MMD NRT NSC * ANG BIA CBT MOTI MXM RELP SACA TELE TRC * PVTN * STAG STMH STDH JC * FSA MC MD MI PI SF SI SAMF * SS * AD TAY WN MN CJ CO XA TRMA * CMHA CSAA OPC STU SSA SMHD * BABA DAOF DAUT MST * ACC DP NOE OFD * AOSS RC PEER EMP * TGD TOD * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO * SMON * ADLT SNR * FEM MALE * AH SP * VAPN * ACU DVFP MHS SSD SPS
Root Center for Advanced Recovery,Hartford Dispensary/Manchester Clinic,335 Broad Street,,Manchester,CT,06040,860-643-3210,860-527-5100,800-862-2181,,,SA SUMH * OP OIT OMB ORT * MU BU NU * PMAT * AUINPE * BUM OTP MM UB UN RPN PAIN * ACM METH BSDM BWON BERI NXN VTRL MHCV LFXD CLND MMD NSC * BIA CBT CMI MOTI RELP SACA TELE TRC TWFA * PVTN * STAG STMH STDH CARF * FSA MC MD PI SF * SS * AD TAY WN PW MN SE GL VET CJ CO COPSU HV XA DV TRMA * CMHA CSAA ISC OPC MHPA STU SSA SMHD * BABA DAOF DAUT HIVT STDT TBS MST HBT HCT * ACC DP NOE OFD * SHG HS AOSS RC PEER EMP * TOD * HAEC TAEC HEOH SAE TCC ICO GCO FCO * HAV HBV * SMON * CHLD ADLT * FEM MALE * AH SP * VAPN * CM EIH MHS SSD TA IPC
Natchaug Hospital Inc,Sachem House,151 Storrs Road,,Mansfield Center,CT,06250,860-465-5960,,,,,SA SUMH * OP ODT OIT OMB ORT * PSYH * BU NU * PMAT * AUPC * BUM UB UN RPN MWS * ACM DSF BSDM BWN BWON BERI NXN VTRL CLND MMD NRT NSC * ANG BIA CBT MOTI RELP SACA TELE TRC * PVTN * STDH HLA JC * ITU MC MD MI PI SF SI * TAY WN PW MN SE GL VET ADM MF CJ CO COPSU HV XA DV TRMA * CMHA CSAA STU SSA SMHD * BABA DAOF DAUT * ACC DP NOE OFD * HS AOSS * TGD TOD * SAE TCC GCO FCO * SMON * YAD ADLT * FEM MALE * AH * VAPN * CM MHS SSD TA SPS
United Services Inc,,140 North Frontage Road,,Mansfield Center,CT,06250,860-456-2261,,,,,SA SUMH * OP OMB ORT * BU NU * PMAT * AUINPE * BUM UB UN RPN * ACM DSF BWN BWON NXN VTRL CLND MMD NRT NSC * ANG BIA CBT MOTI RELP SACA TELE TRC * PVTN * STMH STDH JC * FSA MC MD MI PI SF SI * SS * CMHA CSAA OPC STU SSA SMHD PIEC * DAOF DAUT * DP NOE * HS AOSS RC PEER EMP * TOD * SAE TCC ICO GCO FCO MCO VOC * SMON * YAD ADLT * FEM MALE * SP * VAPN * CM CCC DVFP MHS SSD TA IPC SPS
Connecticut Counseling Centers Inc,Meriden Clinic,285 Kensington Avenue,,Meriden,CT,06451,203-608-0205,,,,,SA * OP OIT OMB ORT * MU BU * NMAUT * BUM OTP MM UB MWS * METH BWN CLND MMD * ANG CBT MOTI RELP SACA TELE TRC * PVTN * STAG STMH STDH CARF SOTP DEA * FSA MC MD PI SF SI * SS * WN PW MN CO TRMA * CMHA CSAA ISC OPC MHPA STU SSA SMHD * BABA DAOF DAUT HIVT TBS MST HBT HCT * ACC DP NOE OFD * HS AOSS RC PEER EMP * HAEC TAEC HEOH SAE ICO GCO * SMON * YAD ADLT * FEM MALE * SP * VAPN * CM MHS SSD TA SPS
Rushford Center Inc,,883 Paddock Avenue,,Meriden,CT,06450,203-630-5280,877-577-3233,,,,SA SUMH * OP OIT OMB ORT * BU NU * PMAT * AUINPE * BUM UB UN * ACM DSF BWN BWON NXN VTRL MMD NRT * ANG CBT MOTI RELP SACA TELE TRC * PVTN * STMH STDH JC * FSA MC MD MI PI SF SAMF * PA SS * AD TAY WN MN SE CO TRMA * CMHA CSAA OPC STU SSA SMHD * BABA DAUT * DP NOE * SHG HS AOSS EMP * TGD * SAE TCC ICO GCO * SMPD * YAD ADLT * FEM MALE * AH SP * VPPD * CM MHS TA SPS
Connecticut Valley Hospital,Addiction Services Division,Tynan Circle,,Middletown,CT,06457,800-828-3396 x5,800-828-3396,860-262-6320,,,SA DT SUMH * HI HID HIT * PSYH * MU BU NU * PMAT * AURPE * DB BUM OTP DM MM UB UN RPN DLC MWS * ACM DSF METH BWN BWON BERI NXN VTRL MHIV MHCV CLND MMD MPEP NRT NSC * ANG BIA CBT CMI MOTI MXM RELP SACA TRC TWFA * STG * HLA JC SOTP DEA * FSA ITU MC MD MI PI SF SI SAMF * PA SS * WN MN CJ CO COPSU HV XA DV TRMA * CMHA CSAA MHPA STU SSA SMHD PIEC * BABA DAUT HIVT STDT TBS MST HBT HCT * DP NOE * SHG HS AOSS RC PEER EMP * TGD * ADTX BDTX CDTX MDTX ODTX MDET * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO VOC * HAV HBV * SMON * YAD ADLT * FEM MALE * AH SP * VAPN * ACU CM EIH MHS SSD TA IPC SPS
Connection Inc,Hallie House,99 Eastern Drive,,Middletown,CT,06457,860-343-5500,,,,,SA SUMH * RES RL * PC * ACMA * AUPC * MOA * ANG BIA CMI MOTI RELP SACA TWFA * PVTN * STMH COA * NP * WN PW CO * CSAA STU SSA SMHD PIEC * BABA DAUT * ACC DP NOE * SHG HS AOSS RC PEER EMP * SAE TCC GCO VOC * SMPD * ADLT SNR * FEM * VAPN * BC CM SSD
Farrell Outpatient,Baldwin,230 Main Street Extension,,Middletown,CT,06457,860-343-5300,,,,,SA SUMH * OP OIT OMB ORT * BU NU * INPE RPE * ACMA PMAT * AUPC * BUM UB UN RPN MOA MWS * ACM DSF BWN BERI NXN VTRL CLND MMD NRT NSC * ANG BIA CBT MOTI MXM RELP SACA TELE TRC TWFA * PVTN * STAG STMH STDH * FSA MC MD PI SF * SS * TAY WN PW MN SE GL VET ADM MF CJ CO COPSU HV XA DV TRMA * CMHA CSAA ISC OPC STU SSA SMHD * BABA DAOF DAUT * ACC DP NOE * SHG HS AOSS RC PEER EMP * TGD TOD * SAE TCC ICO GCO FCO MCO * SMPD * YAD ADLT * FEM MALE * VAPN * ACU CM DVFP MHS SSD TA SPS
Gilead Community Services Inc,Middletown Outpatient Clinic,230 Main Street Extension,,Middletown,CT,06457,860-343-5300 x3425,860-343-5300,,,,SA SUMH * OP OMB ORT * BU NU * PC * ACMA PMAT * AUPC * MOA * ACM DSF BWN NXN VTRL CLND MMD * ANG CBT MOTI RELP SACA TELE TRC * PVTN * STDH CARF * FSA MC MD MI PI SF * SS * VET ADM CO * CMHA STU SMHD * DP NOE * SHG * TGD * SAE ICO GCO FCO MCO * SMPD * YAD ADLT * FEM MALE * VPPD * MHS SPS
PursueCare Connecticut PC,,101 Center Point Drive,Suite 105,Middletown,CT,06457,860-215-2295,866-744-1930,,,,SA SUMH * OP OMB ORT * BU NU * PMAT * AUINPE AURPE AUPC * BUM UB UN RPN MWS * ACM DSF BWN BWON NXN VTRL CLND MMD NRT NSC * ANG BIA CBT CMI MOTI MXM RELP SACA TELE TRC * PVTP * STAG JC DEA * MC MD MI PI SF SI * SS * WN PW MN TRMA * CMHA CSAA ISC OPC MHPA STU SSA SMHD * DAOF DAUT * ACC DP NOE OFD * SHG HS AOSS PEER * HAEC TAEC SAE TCC ICO GCO FCO * SMPD * YAD ADLT * FEM MALE * AH * VPPD * CM MHS SPS
Root Center for Advanced Recovery,Hartford Dispensary/Middletown Clinic,520 Saybrook Road,,Middletown,CT,06457,860-740-8132,860-527-5100,800-862-2181,,,SA SUMH * OP OIT OMB ORT * BU NU * PMAT * AUINPE * BUM UB UN RPN PAIN * ACM BSDM BWON BERI NXN VTRL MHCV LFXD CLND MMD NSC * BIA CBT MOTI RELP SACA TELE TRC TWFA * PVTN * STAG STMH STDH CARF * FSA MC MD PI SF * SS * AD TAY WN PW MN SE GL VET CJ CO COPSU HV XA DV TRMA * CMHA CSAA ISC OPC MHPA STU SSA SMHD * BABA DAOF DAUT HIVT STDT TBS MST HBT HCT * ACC DP NOE OFD * SHG HS AOSS RC PEER EMP * TOD * HAEC TAEC HEOH SAE TCC ICO GCO FCO * HAV HBV * SMON * CHLD ADLT * FEM MALE * AH SP * VAPN * CM EIH MHS SSD TA IPC
Rushford Center Inc,Adult Ambulatory Services,1250 Silver Street,,Middletown,CT,06457,877-577-3233,,,,,SA SUMH * OP ODT OIT OMB ORT * GH * BU NU * INPE PC * ACMA PMAT * AUINPE AUPC * BUM UB UN RPN MOA MWS * ACM DSF BSDM BWN BWON BERI NXN VTRL LFXD CLND MMD NRT NSC * CBT MOTI RELP SACA TELE TRC TWFA * PVTN * STMH STDH JC DEA * FSA MD PI SF * WN MN CO TRMA * CSAA OPC STU SSA SMHD * BABA DAUT * ACC DP NOE OFD * SHG HS AOSS RC PEER * SAE ICO GCO FCO * SMPD * YAD ADLT * FEM MALE * AH * VPPD * CM MHS TA SPS
Rushford Center Inc,Residential Detox Services,1250 Silver Street,,Middletown,CT,06457,860-852-1001,877-577-3233,,,,SA DT * OP RES OD ODT OIT OMB ORT RD * MU BU NU * INPE PC * ACMA PMAT * AUINPE AUPC * DB BUM OTP DM MM UB UN MOA DLC MWS * DSF METH BWN BWON NXN CLND NRT * ANG BIA CBT MOTI RELP SACA TRC * PVTN * STAG STMH STDH JC * FSA ITU MD MI PI SF SI * SS * TAY WN PW MN SE GL VET ADM MF CJ CO COPSU HV XA DV TRMA * CSAA ISC MHPA STU SSA SMHD * BABA DAUT STDT TBS MST * ACC DP NOE OFD * SHG RC PEER * ADTX BDTX ODTX MDET * HAEC TAEC HEOH SAE TCC ICO GCO * SMON * YAD ADLT * FEM MALE * AH * VAPN * CM SPS
Rushford Center Inc,Residential Intensive Treatment DMHAS,1250 Silver Street,,Middletown,CT,06457,860-852-1001,877-577-3233,,,,SA SUMH * OP RES ODT OIT OMB ORT RS * BU NU * INPE PC * ACMA PMAT * AUINPE AUPC * BUM UB UN RPN MOA MWS * ACM DSF BWN BWON BERI NXN VTRL CLND MMD NRT NSC * ANG BIA CBT MOTI RELP SACA TRC TWFA * PVTN * STAG STMH STDH JC * FSA ITU MD MI PI SF SI * SS * TAY WN PW MN SE GL VET ADM MF CJ CO COPSU HV XA DV TRMA * CMHA CSAA ISC MHPA STU SSA SMHD * BABA DAUT TBS HBT HCT * ACC DP NOE OFD * SHG RC PEER * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO * SMON * YAD ADLT * FEM MALE * AH * VAPN * CM MHS SSD SPS
Bridges Healthcare Inc,,941-949 Bridgeport Avenue,,Milford,CT,06460,203-878-6365,203-878-6365 x680,,,,SA SUMH * OP OIT OMB ORT * BU NU * PC * PMAT * AURPE AUPC * BUM UB UN RPN MOA MWS * ACM DSF BWN BWON BERI NXN VTRL MMD NRT NSC * ANG BIA CBT CMI MOTI RELP SACA TELE TRC TWFA * PVTN * STAG STMH STDH JC * FSA MC MD MI PI SF SI SAMF * SS * AD TAY WN MN SE MF CJ CO COPSU XA TRMA * CMHA CSAA ISC OPC MHPA STU SSA SMHD * BABA DAOF DAUT MST * ACC DP NOE OFD * SHG HS AOSS RC PEER EMP * TOD * HEOH SAE TCC ICO GCO FCO MCO VOC * SMON * ADLT SNR * FEM MALE * VAPN * ACU CM DVFP MHS SSD TA IPC SPS
United Community and Family Services,,120-122 Plainfield Road,,Moosup,CT,06354,860-892-7042 x1207,,,,,SA SUMH * OP OMB ORT * BU NU * INPE RPE * PMAT * AUINPE AURPE * BUM UB UN MOA * BWN NXN VTRL MMD * ANG BIA CBT MOTI RELP SACA TELE TRC * PVTN * STDH FQHC * FSA MC MD MI PI SF * PA SS * AD TAY WN MN SE GL VET ADM MF CJ CO COPSU HV XA DV TRMA * CMHA CSAA ISC OPC MHPA STU SSA SMHD * DAUT HIVT STDT TBS MST HBT HCT * DP NOE * HS AOSS RC PEER EMP * TOD * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO * HAV HBV * SMON * ADLT SNR * FEM MALE * VAPN * CM EIH MHS SSD TA IPC SPS
Community Mental Health Affiliates,Adult Behavioral Health Clinic,5 Hart Street,,New Britain,CT,06052,860-229-4850,860-229-4850 x1866,,,,SA SUMH * OP OMB ORT * BU NU * PMAT * AUINPE * BUM UB UN RPN * ACM DSF BSDM BWN BWON BERI NXN VTRL LFXD CLND MMD NRT NSC * ANG BIA MOTI SACA TELE TRC * PVTN * STMH STDH JC * FSA MC MD PI SF SI SAMF * PA SS * AD TAY WN PW MN SE GL VET ADM MF CJ CO HV XA DV TRMA * CMHA CSAA ISC OPC MHPA STU SSA SMHD * BABA DAOF DAUT TBS MST * ACC DP NOE OFD * SHG HS AOSS RC PEER EMP * TGD TOD * HAEC TAEC HEOH SAE TCC ICO GCO FCO VOC * SMON * CHLD ADLT * FEM MALE * SP * VAPN * CM DVFP MHS SSD TA IPC SPS
Farrell Treatment Center,,586 Main Street,,New Britain,CT,06051,860-343-5300 x3425,860-225-4641,,,,SA SUMH * OP RES OIT OMB ORT RS * BU NU * PMAT * AUINPE * BUM UB UN RPN MWS * ACM DSF BSDM BWN BWON BERI NXN VTRL CLND MMD NRT NSC * ANG BIA CBT CMI MOTI MXM RELP SACA TELE TRC TWFA * PVTN * STAG STMH CARF * FSA MC MD MI PI SF SI * SS * WN MN CJ CO * CMHA CSAA MHPA STU SSA SMHD PIEC * DAUT * DP NOE * SHG HS AOSS RC PEER EMP * TGD * SAE TCC ICO GCO FCO MCO * SMPD * YAD ADLT * FEM MALE * VPPD * CM MHS IPC SPS
Root Center for Advanced Recovery,Hartford Dispensary/New Britain Clinic,70 542 East Main Street,,New Britain,CT,06051,860-827-3313,800-862-2181,,,,SA SUMH * OP OIT OMB ORT * MU BU NU * NAUT ACMA PMAT * AUPC * BUM OTP MM UB UN PAIN * ACM DSF METH BSDM BWN BWON BERI NXN MHCV LFXD CLND MMD NSC * BIA CBT MOTI RELP SACA TELE TRC TWFA * PVTN * STAG STMH STDH CARF * FSA MC MD PI SF * SS * WN PW MN SE GL VET CJ CO COPSU HV XA DV TRMA * CMHA CSAA ISC OPC MHPA STU SSA SMHD * BABA DAOF DAUT HIVT STDT TBS MST HBT HCT * ACC DP NOE OFD * SHG HS AOSS RC PEER EMP * TOD * HAEC TAEC HEOH SAE TCC ICO GCO FCO * HAV HBV * SMON * YAD ADLT * FEM MALE * AH SP * VAPN * CM EIH MHS SSD TA IPC
Silver Hill Hospital Inc,,208 Valley Road,,New Canaan,CT,06840,866-542-4455,800-542-4455,203-966-3561,,,SA DT SUMH * HI OP RES HID HIT OIT OMB ORT RL RS * PSYH * MU BU NU * ACMA PMAT * AUINPE * DB BUM OTP DM MM UB UN RPN * ACM DSF METH BWN BWON NXN VTRL MHIV MHCV CLND MMD MPEP NRT NSC * ANG BIA CBT MOTI RELP SACA TELE TRC TWFA * PVTN * STMH STDH JC DEA * MC MI PI SF * AD CO TRMA * CMHA CSAA OPC MHPA STU SSA SMHD * BABA DAUT HIVT STDT TBS MST HBT HCT * ACC DP NOE OFD * SHG PEER * TOD * ADTX BDTX CDTX MDTX ODTX MDET * HAEC TAEC HEOH SAE TCC ICO GCO FCO VOC * HBV * SMPD * CHLD ADLT * FEM MALE * AH * VAPN * ACU MHS SPS
Adult Psychiatric Clinic,Cornell Scott Hill Health Center,400 Columbus Avenue,,New Haven,CT,06519,203-503-3075,203-503-3028,,,,SA SUMH * OP OMB ORT * BU NU * INPE RPE * ACMA PMAT * AUINPE AURPE AUPC * BUM UB UN RPN MOA * ACM DSF BWN BWON BERI NXN VTRL LFXD CLND MMD NRT NSC * ANG BIA CBT CMI MOTI RELP SACA TELE TRC * PVTN * STMH STDH JC FQHC * FSA MC MD MI PI SF SI * PA SS * TAY WN PW MN SE GL VET ADM MF CO COPSU HV XA DV TRMA * CMHA CSAA ISC OPC STU SSA SMHD * BABA DAOF DAUT * ACC DP NOE OFD * SHG HS AOSS RC * TGD TOD * HAEC SAE TCC ICO GCO FCO MCO * SMPD * YAD ADLT * FEM MALE * SP FX * F28 * VPPD * ACU CM DVFP MHS SSD IPC SPS
APT Foundation Inc,Access and Treatment Services,1 Long Wharf Drive,,New Haven,CT,06511,203-781-4600,,,,,SA SUMH * OP OIT OMB ORT * MU BU NU * INPE * ACMA PMAT * AUINPE * BUM OTP MM UB UN RPN MOA * DSF METH BSDM BWN BWON BERI NXN VTRL MHIV MHCV MMD MPEP NRT NSC * ANG BIA CBT CMI MOTI RELP SACA TELE TRC TWFA * PVTN * STAG STMH STDH CARF SOTP DEA * MC MD MI PI SF SI * SS * TAY WN PW MN SE GL VET ADM MF CJ CO COPSU HV XA DV TRMA * CMHA CSAA ISC OPC MHPA STU SSA SMHD * BABA DAOF DAUT HIVT STDT TBS MST HBT HCT * ACC DP NOE OFD * SHG HS AOSS PEER EMP * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO VOC * HAV HBV * SMPD * CHLD ADLT * FEM MALE * AH SP * VPPD * ACU CM DVFP EIH MHS SSD IPC SPS
APT Foundation Inc,Amethyst House,54 East Ramsdell Street,,New Haven,CT,06515,203-781-4600,,,,,SA SUMH * RES RL RS * MU BU NU * INPE * ACMA PMAT * AUINPE * BUM OTP MM UB UN RPN MOA * ACM DSF METH BSDM BWN BWON BERI NXN VTRL MHIV MHCV MMD MPEP NRT NSC * ANG BIA CBT CMI MOTI RELP SACA TELE TRC TWFA * PVTN * STAG STMH STDH CARF SOTP DEA * MC MD MI PI SF SI * TAY WN PW SE GL VET ADM MF CJ CO COPSU HV XA DV TRMA * CMHA CSAA MHPA STU SSA SMHD * BABA DAOF DAUT HIVT STDT TBS MST HBT HCT * ACC DP NOE OFD * SHG HS AOSS RC PEER EMP * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO VOC * HAV HBV * SMPD * YAD ADLT SNR * FEM * AH SP * VPPD * ACU BC CM CCC DVFP EIH MHS SSD TA IPC SPS
APT Foundation Inc,APT Meth Main Prog/APT Legion Clinic,495 Congress Avenue,,New Haven,CT,06519,203-781-4600,,,,,SA SUMH * OP OIT OMB * MU * INPE * PMAT * AUINPE * OTP MM MOA * DSF METH MHIV MHCV CLND MMD MPEP NRT NSC * ANG BIA CBT CMI MOTI RELP SACA TELE TRC TWFA * PVTN * STAG STMH STDH CARF SOTP DEA * MC MD MI PI SF SI * SS * TAY WN PW MN SE GL VET ADM MF CJ CO COPSU HV XA DV TRMA * BABA DAOF DAUT HIVT STDT TBS MST HBT HCT * ACC DP NOE OFD * SHG HS AOSS RC PEER EMP * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO VOC * HAV HBV * SMPD * YAD ADLT * FEM MALE * OUDO * AH SP * VPPD * ACU CM CCC DVFP EIH MHS SSD TA IPC SPS
APT Foundation Inc,Residential Services Division,54 East Ramsdell Street,,New Haven,CT,06515,203-781-4600,,,,,SA SUMH * RES RL RS * MU BU NU * INPE * ACMA PMAT * AUINPE * BUM OTP MM UB UN RPN MOA * ACM DSF METH BSDM BWN BWON BERI NXN VTRL MHIV MHCV LFXD CLND MMD MPEP NRT NSC * ANG BIA CBT CMI MOTI MXM RELP SACA TELE TRC TWFA * PVTN * STAG STMH STDH CARF SOTP DEA * MC MD MI SI * TAY WN PW MN SE GL VET ADM MF CJ CO COPSU HV XA DV TRMA * CMHA CSAA MHPA STU SSA SMHD * BABA DAOF DAUT HIVT STDT TBS MST HBT HCT * ACC DP NOE OFD * SHG HS AOSS RC PEER EMP * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO VOC * HAV HBV * SMPD * YAD ADLT * FEM MALE * AH SP * VPPD * ACU CM DVFP EIH MHS SSD IPC SPS
Aspire365,,679 State Street,Suite 200,New Haven,CT,06511,385-352-9696,,,,,SA SUMH * OP OIT OMB ORT * BU NU * INPE RPE * ACMA PMAT * AUINPE AURPE * UB MOA * BWN BWON BERI * ANG CBT CMI CRV MOTI MXM RELP SACA TELE TRC * PVTP * JC * PI SF SAMF * AD TAY WN PW MN SE GL VET ADM MF CJ CO COPSU HV XA DV TRMA * CMHA CSAA OPC SSA SMHD * DAOF DAUT * ACC DP NOE OFD * RC PEER * TGD * SAE ICO FCO * CHLD ADLT * FEM MALE * AH * VAPP * CM IPC SPS
Chemical Abuse Services Agency Inc,CASA/DBA MAAS,426 East Street,,New Haven,CT,06511,203-495-7710,203-495-7710 x114,,,,SA DT SUMH * OP OD ODT OIT OMB ORT * MU BU * NMAUT * DB BUM OTP DM MM * METH BWON * BIA CBT MOTI MXM RELP SACA TELE TRC * PVTN * STAG STMH STDH CARF SOTP DEA * FSA MD PI SF * PA * WN PW MN CJ CO HV XA DV TRMA * CMHA CSAA ISC OPC MHPA STU SSA SMHD * BABA DAUT HIVT STDT TBS MST HBT HCT * ACC DP NOE OFD * SHG AOSS RC PEER EMP * TGD * ODTX MDET * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO * SMPD * YAD ADLT * FEM MALE * SP * VPPD * CM CCC DVFP EIH MHS SSD TA
Chemical Abuse Services Agency Inc,CASA/MAAS Methadone Supported Servs,426 East Street,,New Haven,CT,06511,203-495-7710,203-495-7710 x114,,,,SA DT SUMH * OP OD OIT OMB ORT * MU BU * NMAUT * DB BUM OTP DM MM UB * METH BWN BWON MMD * BIA CBT MOTI MXM RELP SACA TELE TRC TWFA * PVTN * STDH CARF SOTP DEA * FSA MD PI SF * WN MN CJ HV TRMA * CMHA CSAA OPC MHPA STU SSA SMHD * BABA DAUT HIVT STDT TBS MST HBT HCT * ACC DP NOE OFD * SHG AOSS RC PEER * TGD * ODTX MDET * HAEC TAEC HEOH SAE ICO GCO FCO MCO * SMPD * YAD ADLT * FEM MALE * SP * VPPD * CM CCC EIH MHS SSD IPC
Cornell Scott Hill Health Center,Dixwell Behavioral Health Services,197 Dixwell Avenue,2nd Floor,New Haven,CT,06511,203-503-3470,,203-503-3028,,,SA SUMH * OP OMB ORT * BU NU * INPE PC * PMAT * AUINPE AUPC * BUM UB UN MOA * ACM BWN NXN CLND MMD NRT NSC * ANG BIA CBT MOTI RELP SACA TELE TRC * PVTN * STAG STMH STDH JC FQHC * MC MD PI SF SI * SS * TAY WN PW MN SE GL VET CJ CO COPSU HV XA DV TRMA * CMHA CSAA ISC OPC STU SSA SMHD * BABA DAOF DAUT * ACC DP NOE * HS AOSS * TGD TOD * SAE TCC ICO GCO * SMON * YAD ADLT * FEM MALE * SP * VAPN * ACU CM DVFP MHS SSD TA SPS
Cornell Scott Hill Health Center,South Central Rehabilitation Center,232 Cedar Street,,New Haven,CT,06519,203-503-3300,,,,,SA DT SUMH * HI OP RES HID OD OMB ORT RD * MU BU NU * PC * ACMA PMAT * AUPC * DB BUM OTP DM MM UB UN RPN MOA MWS * ACM DSF METH BWN BWON NXN MHIV MHCV MMD MPEP NRT NSC * ANG BIA CBT CMI MOTI RELP SACA TELE TRC TWFA * PVTN * STAG STMH STDH JC FQHC SOTP DEA * FSA MC MD PI SF SI * SS * WN MN CO COPSU HV * CMHA CSAA ISC OPC MHPA STU SSA SMHD PIEC * BABA DAUT HIVT STDT TBS HBT HCT * ACC DP NOE OFD * SHG HS AOSS RC PEER * TOD * ADTX BDTX ODTX MDET * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO * HAV HBV * SMPD * YAD ADLT * FEM MALE * SP * VAPN * ACU CM DVFP EIH MHS SSD TA IPC
Fair Haven Community Healthcare,,374 Grand Avenue,,New Haven,CT,06513,203-777-7411,,,,,SA SUMH * OP OMB ORT * BU NU * PMAT * AUINPE * BUM UB UN RPN * ACM DSF BWN BWON BERI NXN VTRL MHIV MHCV LFXD CLND MMD MPEP NRT NSC * ANG BIA CBT MOTI RELP SACA TELE TRC * PVTN * STDH FQHC * FSA ITU MC MD MI PI SF SI * PA SS * AD TAY WN PW MN SE GL VET ADM MF CO COPSU HV XA DV TRMA * CMHA CSAA ISC OPC MHPA STU SSA SMHD PIEC * BABA DAOF DAUT HIVT STDT TBS MST HBT HCT * ACC NOE OFD * HS AOSS RC PEER EMP * TGD TOD * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO * HAV HBV * SMON * ADLT SNR * FEM MALE * AH SP * VAPN * CM DVFP EIH MHS SSD TA IPC SPS
Fair Haven Community Healthcare,,50 Grand Avenue,,New Haven,CT,06513,203-752-5271,,,,,SA SUMH * OP OMB ORT * BU NU * INPE RPE * ACMA PMAT * AUINPE AURPE * BUM UB UN RPN MOA MWS * ACM DSF BWN BWON BERI NXN VTRL MHIV MHCV LFXD CLND MMD MPEP NRT NSC * ANG BIA CBT CMI MOTI MXM RELP SACA TELE TRC TWFA * PVTN * STDH JC FQHC * FSA ITU MC MD MI PI SF SI * PA SS * CMHA CSAA ISC OPC MHPA STU SSA SMHD PIEC * BABA DAOF DAUT HIVT STDT TBS MST HBT HCT * ACC DP NOE OFD * HS AOSS PEER * TGD TOD * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO * HAV HBV * SMON * ADLT SNR * FEM MALE * SP * VAPN * CM DVFP EIH MHS TA IPC SPS
New Era Rehabilitation Center Inc,NERC,311 East Street,,New Haven,CT,06511,203-344-0025,,,,,SA DT SUMH * OP OD ODT OIT OMB ORT * MU BU NU * ACMA PMAT * AUINPE * DB BUM OTP DM MM UB RPN MWS * METH BWN NXN MMD * ANG BIA CBT CMI CRV MOTI MXM RELP SACA TELE TRC TWFA * PVTP * STAG STMH STDH CARF SOTP DEA * MC MD PI SF SAMF * TAY WN PW MN SE GL VET ADM MF CJ CO COPSU HV XA DV TRMA * CMHA CSAA ISC OPC MHPA STU SSA SMHD PIEC * BABA DAOF DAUT HIVT STDT TBS HBT HCT * ACC DP NOE OFD * HS RC PEER EMP * TOD * ADTX ODTX * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO * SMPD * YAD ADLT * FEM MALE * SP * VPPD * ACU CM DVFP MHS SPS
